LIABILITIES,EPS,PBV,NPM
13186,136.1,2.661,-514
13297,129.8,2.562,20
13302,100.4,2.589,29
13175,131.6,2.326,-494
14469,177.4,4.51,-971
13392,139.3,4.27,-412
13414,132,3.849,-407
13414,132,3.849,-407
13503,131.5,3.84,38
13320,109.5,4.4,-189
13254,96,4.81,23
13568,94.2,5,25
13567,101.4,5.14,77
13635,112,3.39,144
13621,114.7,3.493,102
13654,121.1,3.586,4
13584,127.8,3.537,-180
13376,133.8,41,-186
13468,155.8,40.7,-183
13471,166.6,33.4,-190
13513,195.2,2.706,-174
13511,183.4,2.671,-165
13513,182.4,2.492,-165
14102,184.2,2.021,-165
14168,191.4,1.851,-283
14096,181,0.61,27
14004,186.2,2.107,-3455
13973,185.9,2.077,-3448
14136,186.4,0.97,-1999
14089,182.5,0.82,-1039
14190,181.2,1.02,-1021
14193,170,4.01,-896
