No,Periode,% Inflasi
1,Maret 2013,5.9
2,April 2013,5.57
3,Mei 2013,5.47
4,Juni 2013,5.9
5,Juli 2013,8.61
6,Agustus 2013,8.79
7,Sep-13,8.4
8,Oktober 2013,8.32
9,Nov-13,8.37
10,Desember 2013,8.38
11,Januari 2014,8.22
12,Februari 2014,7.75
13,Maret 2014,7.32
14,April 2014,7.25
15,Mei 2014,7.32
16,Juni 2014,6.7
17,Juli 2014,4.53
18,Agustus 2014,3.99
19,Sep-14,4.53
20,Oktober 2014,4.83
21,Nov-14,6.23
22,Desember 2014,8.36
23,Januari 2015,6.96
24,Februari 2015,6.29
25,Maret 2015,6.38
26,April 2015,6.79
27,Mei 2015,7.15
28,Juni 2015,7.26
29,Juli 2015,7.26
30,Agustus 2015,7.18
31,Sep-15,6.83
32,Oktober 2015,6.25
33,Nov-15,4.89
34,Desember 2015,3.35
35,Januari 2016,4.14
36,Februari 2016,4.42
37,Maret 2016,4.45
38,April 2016,3.6
39,Mei 2016,3.33
40,Juni 2016,3.45
41,Juli 2016,3.21
42,Agustus 2016,2.79
43,Sep-16,3.07
44,Oktober 2016,3.31
45,Nov-16,3.58
46,Desember 2016,3.02
47,Januari 2017,3.49
48,Februari 2017,3.83
49,Maret 2017,3.61
50,April 2017,4.17
51,Mei 2017,4.33
52,Juni 2017,4.37
53,Juli 2017,3.88
54,Agustus 2017,3.82
55,Sep-17,3.72
56,Oktober 2017,3.58
57,Nov-17,3.3
58,Desember 2017,3.61
59,Januari 2018,3.25
60,Februari 2018,3.18
61,Maret 2018,3.4
62,April 2018,3.41
63,Mei 2018,3.23
64,Juni 2018,3.12
65,Juli 2018,3.18
66,Agustus 2018,3.2
67,Sep-18,2.88
68,Oktober 2018,3.16
69,Nov-18,3.23
70,Desember 2018,3.13
71,Januari 2019,2.82
72,Februari 2019,2.57
73,Maret 2019,2.48
74,April 2019,2.83
75,Mei 2019,3.32
76,Juni 2019,3.28
77,Juli 2019,3.32
78,Agustus 2019,3.49
79,Sep-19,3.39
80,Oktober 2019,3.13
81,Nov-19,3
82,Desember 2019,2.72
83,Januari 2020,2.68
84,Februari 2020,2.98
85,Maret 2020,2.96
86,April 2020,2.67
87,Mei 2020,2.19
88,Juni 2020,1.96
89,Juli 2020,1.54
90,Agustus 2020,1.32
91,Sep-20,1.42
92,Oktober 2020,1.44
93,Nov-20,1.59
94,Desember 2020,1.68
95,Januari 2021,1.55
96,Februari 2021,1.38
97,Maret 2021,1.37
98,April 2021,1.42
99,Mei 2021,1.68
100,Juni 2021,1.33
101,Juli 2021,1.52
102,Agustus 2021,1.59
103,Sep-21,1.6
104,Oktober 2021,1.66
105,Nov-21,1.75
106,Desember 2021,1.87
107,Januari 2022,2.18
108,Februari 2022,2.06
109,Maret 2022,2.64
110,April 2022,3.47
111,Mei 2022,3.55
112,Juni 2022,4.35
113,Juli 2022,4.94
114,Agustus 2022,4.69
115,Sep-22,5.95
116,Oktober 2022,5.71
117,Nov-22,5.42
118,Desember 2022,5.51
119,Januari 2023,5.28
120,Februari 2023,5.47
121,Maret 2023,4.97
122,April 2023,4.33
123,Mei 2023,4
124,Juni 2023,3.52
125,Juli 2023,3.08
126,Agustus 2023,3.27
127,September 2023,2.28
128,Oktober 2023,2.56
